student_id,gender,study_hours_per_day,attendance_percent,previous_exam_score,parental_education,extracurricular_activity,sleep_hours,final_exam_score
S1000,Male,3.0,89.1,73.3,High School,No,6.5,69.1
S1001,Female,1.8,86.4,50.5,Masters,Yes,6.5,48.1
S1002,male,3.7,78.4,66.6,High School,No,7.7,68.6
S1003,Male,6.0,93.6,45.0,Masters,Yes,7.2,70.1
S1004,Male,4.9,,56.0,High School,Yes,7.5,53.0
S1005,Female,2.3,88.2,69.8,Bachelors,Yes,8.0,61.8
S1006,Male,4.8,87.9,41.1,Bachelors,Yes,6.4,60.4
S1007,male,5.2,78.9,71.6,Bachelors,No,6.1,83.8
S1008,Male,2.9,85.3,64.7,High School,Yes,5.5,67.4
S1009,Female,4.8,69.5,73.3,High School,No,5.8,57.7
S1010,Male,4.6,91.2,68.4,High School,Yes,10.0,81.9
S1011,Male,2.4,80.2,85.5,High School,Yes,,61.3
S1012,Male,5.1,76.8,66.9,Bachelors,Yes,5.2,76.3
S1013,Male,5.5,92.5,58.6,PhD,Yes,5.2,67.7
S1014,Female,6.4,75.0,66.8,Masters,Yes,7.4,75.1
S1015,Male,6.4,67.9,73.1,Masters,No,7.5,83.6
S1016,Female,2.0,66.4,65.7,Masters,No,7.5,48.2
S1017,Female,2.8,88.1,65.6,Bachelors,No,6.5,53.9
S1018,Female,5.4,69.2,54.5,High School,No,6.6,59.5
S1019,Male,5.4,99.5,55.1,Masters,No,7.2,79.5
S1020,Female,5.4,61.2,44.0,Bachelors,Yes,6.9,49.7
S1021,Male,11.4,99.0,91.2,Bachelors,No,4.1,79.5
S1022,Female,5.5,84.1,46.3,High School,No,6.5,61.4
S1023,Female,6.5,81.0,54.6,Bachelors,No,5.8,72.7
S1024,Female,6.2,76.6,54.2,Bachelors,No,7.0,76.9
S1025,Female,5.7,86.0,78.4,Masters,Yes,10.0,80.9
S1026,Female,3.9,81.6,60.6,Bachelors,No,7.2,62.0
S1027,Female,5.9,,83.7,Bachelors,No,6.4,89.1
S1028,Female,3.1,83.1,54.9,PhD,No,7.9,48.7
S1029,Female,4.1,83.5,69.2,High School,No,7.4,66.6
S1030,Male,3.6,78.4,52.5,Bachelors,Yes,7.3,63.8
S1031,Male,4.6,81.4,97.2,High School,Yes,7.5,85.5
S1032,Female,8.7,,47.2,Masters,No,9.3,76.0
S1033,Female,1.1,64.9,69.6,Masters,No,5.4,52.4
S1034,Female,5.7,68.5,74.5,High School,Yes,7.4,57.1
S1035,Male,1.6,89.4,71.2,Masters,Yes,5.7,58.3
S1036,Female,3.7,83.7,62.2,High School,Yes,7.5,71.0
S1037,Male,6.5,80.2,63.1,Masters,Yes,5.7,66.6
S1038,Male,4.6,82.2,65.7,Masters,No,6.3,68.1
S1039,Male,2.6,85.5,62.8,Masters,No,,64.4
S1040,Male,3.2,76.6,79.5,High School,Yes,8.0,68.8
S1041,Male,5.7,74.2,98.2,PhD,Yes,7.9,86.2
S1042,Female,3.2,84.0,56.6,Masters,Yes,5.3,54.3
S1043,Female,4.9,72.2,44.5,High School,Yes,,60.2
S1044,Female,4.6,86.1,63.7,Masters,No,5.9,71.7
S1045,Female,3.3,65.0,100.0,High School,No,5.3,70.9
S1046,Female,8.4,92.3,52.9,Masters,No,6.5,74.1
S1047,Male,5.6,86.7,89.6,High School,Yes,6.4,84.1
S1048,Female,0.9,84.6,90.2,Masters,No,9.7,75.2
S1049,Female,4.8,91.8,56.7,Bachelors,No,7.3,54.8
S1050,Male,3.3,98.7,73.5,High School,No,5.1,76.7
S1051,Female,6.0,92.1,89.4,High School,No,,80.3
S1052,Male,3.1,63.6,59.3,High School,Yes,8.0,63.6
S1053,Female,4.3,69.2,61.9,Bachelors,Yes,9.3,77.1
S1054,Male,5.4,75.8,56.3,High School,Yes,4.9,55.7
S1055,Female,6.1,82.3,49.8,Bachelors,Yes,4.5,61.3
S1056,Female,2.3,87.2,55.3,High School,Yes,9.0,62.0
S1057,Male,3.9,74.7,46.6,High School,No,7.3,52.9
S1058,Male,3.6,83.9,65.5,Masters,No,5.8,76.3
S1059,Male,3.3,74.4,53.5,High School,No,7.4,53.0
S1060,Male,7.7,75.9,68.5,Masters,Yes,3.6,71.1
S1061,Male,5.2,67.9,41.7,Masters,No,6.8,59.8
S1062,Male,2.2,72.8,70.0,Bachelors,No,7.2,52.1
S1063,Male,6.2,68.5,77.5,Bachelors,No,7.9,73.2
S1064,Male,8.3,72.2,35.1,Masters,No,5.6,67.5
S1065,Female,6.4,92.5,70.6,High School,No,,76.3
S1066,Female,1.8,72.5,83.4,High School,No,5.7,61.0
S1067,Male,3.6,100.0,46.9,High School,Yes,7.1,61.9
S1068,Female,6.8,86.9,90.1,Masters,Yes,5.7,75.0
S1069,Female,3.2,83.8,71.3,High School,Yes,6.3,69.8
S1070,Female,5.3,73.4,54.4,Bachelors,Yes,5.6,77.0
S1071,Female,5.9,89.0,64.2,PhD,Yes,7.6,77.1
S1072,Male,2.8,76.2,73.4,Masters,No,7.8,67.0
S1073,Female,4.4,83.2,66.1,Bachelors,No,6.5,72.6
S1074,Male,0.0,100.0,73.1,High School,No,6.8,51.9
S1075,Female,2.7,81.0,51.2,Masters,Yes,5.1,68.4
S1076,Female,4.0,93.5,67.5,Bachelors,No,6.4,70.8
S1077,Female,2.3,75.0,43.8,High School,No,6.7,62.9
S1078,Male,7.4,81.7,63.3,High School,Yes,9.9,78.0
S1079,Female,1.9,99.7,51.4,Masters,No,5.5,70.0
S1080,Male,3.7,75.7,54.0,Bachelors,Yes,8.6,70.0
S1081,Female,4.7,100.0,83.5,Masters,Yes,8.0,87.1
S1082,Male,7.1,89.1,81.4,Masters,No,7.1,85.8
S1083,Female,1.9,76.4,74.1,Bachelors,Yes,8.9,64.7
S1084,Male,6.6,88.3,48.6,Bachelors,No,7.2,79.4
S1085,Male,4.5,91.7,60.3,Bachelors,No,7.3,70.4
S1086,Female,2.7,88.2,83.2,High School,No,6.7,56.1
S1087,Male,5.3,66.3,67.1,Bachelors,Yes,8.3,63.6
S1088,Female,4.9,74.7,99.8,Masters,Yes,8.1,82.1
S1089,Female,3.4,79.5,70.9,Bachelors,Yes,6.0,68.7
S1090,Female,4.6,,67.9,Masters,No,5.2,66.2
S1091,Female,3.8,88.2,60.4,Bachelors,No,6.6,73.8
S1092,Female,4.7,83.8,67.0,Bachelors,Yes,5.8,56.5
S1093,female,5.7,68.6,62.7,Bachelors,No,6.7,68.4
S1094,Female,7.4,85.8,75.6,Bachelors,No,8.3,71.3
S1095,Female,2.3,88.1,79.4,Masters,Yes,6.3,73.9
S1096,Female,8.3,87.6,53.2,High School,No,,76.5
S1097,Female,1.0,92.8,45.0,Bachelors,No,6.9,55.4
S1098,Female,4.2,90.3,37.5,High School,Yes,7.8,56.8
S1099,Male,5.6,86.6,72.6,Bachelors,Yes,4.1,82.1
S1100,Male,5.0,81.3,48.4,Bachelors,No,6.1,69.7
S1101,Female,3.4,65.4,32.7,Bachelors,No,7.1,53.4
S1102,Female,4.1,86.3,70.8,PhD,No,8.2,70.9
S1103,Female,3.6,84.1,100.0,Bachelors,No,6.2,80.9
S1104,Female,3.4,84.7,64.9,Masters,Yes,4.5,58.6
S1105,Female,6.0,69.2,77.6,Bachelors,Yes,7.5,82.9
S1106,Female,5.1,71.2,66.2,Bachelors,No,6.0,77.8
S1107,Female,3.3,92.5,63.5,High School,Yes,5.4,73.5
S1108,Female,6.1,81.6,78.8,High School,Yes,6.1,73.5
S1109,Male,5.1,88.8,60.6,Bachelors,No,,72.2
S1110,Female,6.0,,69.0,Bachelors,No,6.1,64.0
S1111,Male,5.6,82.3,69.8,High School,No,4.2,73.2
S1112,Female,3.0,91.4,55.0,High School,No,7.9,66.7
S1113,Female,3.5,76.8,79.9,High School,Yes,8.3,59.7
S1114,Male,5.8,83.0,62.4,PhD,No,7.6,64.4
S1115,Female,5.6,77.4,53.7,High School,Yes,5.4,64.2
